TrackIndex,TrackName,TrackType,TrackVolume,TrackPan,TrackMute,TrackSolo,ClipFileName,ClipMobID,ClipTimelineStart,ClipTimelineEnd,ClipSourceStart,ClipLength,ClipGain,ClipVolume,ClipPan,ClipEffects,FadeInLength,FadeOutLength,CrossfadeLength,FadeInType,FadeOutType
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_617.wav","308E4C04-4208-06A3-D2BD-DAF5EBE2502D",232.600,239.080,6.000,6.480,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_880.wav","308E4C04-4208-06A3-3DEC-DAF5EBE2502D",239.080,249.920,6.000,10.840,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_917.wav","488A4C04-4208-06A3-853B-DAF5EBE2502D",249.920,255.520,6.000,5.600,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_297.wav","488A4C04-4208-06A3-594D-DAF5EBE2502D",255.520,272.240,6.000,16.720,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_576.wav","488A4C04-4208-06A3-0836-DAF5EBE2502D",272.240,275.280,6.000,3.040,1.000,1.000,0.000,"",0.000,10.240,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_899.wav","488A4C04-4208-06A3-A4CE-DAF5EBE2502D",285.520,291.480,6.000,5.960,1.000,1.000,0.000,"",10.240,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_279.wav","308E4C04-4208-06A3-93CB-DAF5EBE2502D",291.480,292.360,6.000,0.880,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_597.wav","308E4C04-4208-06A3-7BF9-DAF5EBE2502D",292.360,304.800,6.000,12.440,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"08-HERO-250607_1503_embedded_19.wav","308E4C04-4208-06A3-EA65-DAF5EBE2502D",304.800,307.960,6.000,3.160,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_103.wav","308E4C04-4208-06A3-F0E8-DAF5EBE2502D",307.960,325.000,6.000,17.040,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_516.wav","308E4C04-4208-06A3-EE7A-DAF5EBE2502D",325.000,331.000,6.000,6.000,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_974.wav","308E4C04-4208-06A3-7F28-DAF5EBE2502D",331.000,334.120,6.000,3.120,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_435.wav","488A4C04-4208-06A3-F3EA-DAF5EBE2502D",334.120,335.520,6.000,1.400,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_571.wav","308E4C04-4208-06A3-5E1C-DAF5EBE2502D",335.520,339.360,6.000,3.840,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"08-HERO-250607_1503_embedded_394.wav","488A4C04-4208-06A3-D6F6-DAF5EBE2502D",339.360,340.240,6.000,0.880,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_80.wav","308E4C04-4208-06A3-4C2C-DAF5EBE2502D",340.240,348.080,6.000,7.840,1.000,1.000,0.000,"",0.000,10.520,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_264.wav","488A4C04-4208-06A3-0ACF-DAF5EBE2502D",358.600,361.720,6.000,3.120,1.000,1.000,0.000,"",10.520,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_986.wav","308E4C04-4208-06A3-3750-DAF5EBE2502D",361.720,363.080,6.000,1.360,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_360.wav","308E4C04-4208-06A3-5382-DAF5EBE2502D",363.080,375.200,6.000,12.120,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_846.wav","488A4C04-4208-06A3-2715-DAF5EBE2502D",375.200,386.920,6.000,11.720,1.000,1.000,0.000,"",0.000,6.920,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_307.wav","488A4C04-4208-06A3-B7AE-DAF5EBE2502D",393.840,401.200,6.000,7.360,1.000,1.000,0.000,"",6.920,0.000,0.080,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_218.wav","308E4C04-4208-06A3-33EC-DAF5EBE2502D",401.280,428.560,6.000,27.280,1.000,1.000,0.000,"",0.000,0.000,0.080,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_705.wav","308E4C04-4208-06A3-05DB-DAF5EBE2502D",428.560,431.160,6.000,2.600,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_88.wav","308E4C04-4208-06A3-C6FF-DAF5EBE2502D",431.160,453.200,6.000,22.040,1.000,1.000,0.000,"",0.000,5.760,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_643.wav","308E4C04-4208-06A3-256A-DAF5EBE2502D",458.960,470.920,6.000,11.960,1.000,1.000,0.000,"",5.760,0.680,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_156.wav","308E4C04-4208-06A3-7AD8-DAF5EBE2502D",471.600,499.760,6.000,28.160,1.000,1.000,0.000,"",0.680,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_691.wav","308E4C04-4208-06A3-8CF3-DAF5EBE2502D",499.760,528.080,6.000,28.320,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_740.wav","488A4C04-4208-06A3-239A-DAF5EBE2502D",528.080,531.600,6.000,3.520,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_347.wav","488A4C04-4208-06A3-1B12-DAF5EBE2502D",531.600,539.200,6.000,7.600,1.000,1.000,0.000,"",0.000,6.480,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_571.wav","488A4C04-4208-06A3-6B3B-DAF5EBE2502D",545.680,548.800,6.000,3.120,1.000,1.000,0.000,"",6.480,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"11-1-250607_1503_embedded_750.wav","308E4C04-4208-06A3-43A9-DAF5EBE2502D",548.800,549.960,6.000,1.160,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_847.wav","488A4C04-4208-06A3-5AF3-DAF5EBE2502D",549.960,552.200,6.000,2.240,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_561.wav","488A4C04-4208-06A3-0046-DAF5EBE2502D",552.200,560.320,6.000,8.120,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
