TrackIndex,TrackName,TrackType,TrackVolume,TrackPan,TrackMute,TrackSolo,ClipFileName,ClipMobID,ClipTimelineStart,ClipTimelineEnd,ClipSourceStart,ClipLength,ClipGain,ClipVolume,ClipPan,ClipEffects,FadeInLength,FadeOutLength,CrossfadeLength,FadeInType,FadeOutType
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-1A99-DAF5EBE2502D",113.400,116.600,6.000,3.200,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-83FE-DAF5EBE2502D",124.680,127.840,6.000,3.160,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-03EA-DAF5EBE2502D",127.840,132.480,6.000,4.640,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-C103-DAF5EBE2502D",132.480,134.720,6.000,2.240,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-6944-DAF5EBE2502D",134.720,136.040,6.000,1.320,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-C91D-DAF5EBE2502D",136.040,140.320,6.000,4.280,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-20C3-DAF5EBE2502D",140.320,148.960,6.000,8.640,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-0003-DAF5EBE2502D",148.960,155.680,6.000,6.720,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-D79E-DAF5EBE2502D",155.760,161.280,6.000,5.520,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-E691-DAF5EBE2502D",167.800,171.960,6.000,4.160,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-979D-DAF5EBE2502D",171.960,175.760,6.000,3.800,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-FB1D-DAF5EBE2502D",175.920,194.000,6.000,18.080,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-9450-DAF5EBE2502D",194.000,210.840,6.000,16.840,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"06-LARA-250607_1503.wav","308E4C04-4208-06A3-213C-DAF5EBE2502D",218.040,220.880,6.000,2.840,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-9D36-DAF5EBE2502D",220.880,225.160,6.000,4.280,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-F97C-DAF5EBE2502D",225.160,226.800,6.000,1.640,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-FB5C-DAF5EBE2502D",226.880,229.360,6.000,2.480,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-5AE9-DAF5EBE2502D",229.360,232.600,6.000,3.240,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-D2BD-DAF5EBE2502D",232.600,239.080,6.000,6.480,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-3DEC-DAF5EBE2502D",239.080,249.920,6.000,10.840,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-853B-DAF5EBE2502D",249.920,255.520,6.000,5.600,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-594D-DAF5EBE2502D",255.520,272.240,6.000,16.720,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-0836-DAF5EBE2502D",272.240,275.280,6.000,3.040,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-A4CE-DAF5EBE2502D",285.520,291.480,6.000,5.960,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-93CB-DAF5EBE2502D",291.480,292.360,6.000,0.880,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-7BF9-DAF5EBE2502D",292.360,304.800,6.000,12.440,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"08-HERO-250607_1503.wav","308E4C04-4208-06A3-EA65-DAF5EBE2502D",304.800,307.960,6.000,3.160,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-F0E8-DAF5EBE2502D",307.960,325.000,6.000,17.040,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-EE7A-DAF5EBE2502D",325.000,331.000,6.000,6.000,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-7F28-DAF5EBE2502D",331.000,334.120,6.000,3.120,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","488A4C04-4208-06A3-F3EA-DAF5EBE2502D",334.120,335.520,6.000,1.400,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
